ID;Ürün Adı;Kategori;Alt Kategori;Hizmet Türü;Fiyat (TL);Popüler
esofman-takim;EŞOFMAN TAKIM;erkek-giyim;erkek-alt-giyim;kuru-temizleme;600;EVET
esofman-takim;EŞOFMAN TAKIM;erkek-giyim;erkek-alt-giyim;yikama;600;HAYIR
esofman-takim;EŞOFMAN TAKIM;erkek-giyim;erkek-alt-giyim;utuleme;250;HAYIR
takim-elbise;TAKIM ELBİSE (2 PARÇA);erkek-giyim;erkek-takim-elbise;kuru-temizleme;750;EVET
takim-elbise;TAKIM ELBİSE (2 PARÇA);erkek-giyim;erkek-takim-elbise;utuleme;750;HAYIR
takim-elbise;TAKIM ELBİSE (2 PARÇA);erkek-giyim;erkek-takim-elbise;boyama;350;HAYIR
gomlek-erkek;GÖMLEK ERKEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;300;EVET
gomlek-erkek;GÖMLEK ERKEK;erkek-giyim;erkek-ust-giyim;yikama;300;HAYIR
gomlek-erkek;GÖMLEK ERKEK;erkek-giyim;erkek-ust-giyim;utuleme;150;EVET
ceket-erkek;CEKET ERKEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;450;EVET
ceket-erkek;CEKET ERKEK;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
elbise-kadin;ELBİSE KADIN (NORMAL);kadin-giyim;kadin-elbise-takim;kuru-temizleme;600;EVET
elbise-kadin;ELBİSE KADIN (NORMAL);kadin-giyim;kadin-elbise-takim;yikama;600;HAYIR
elbise-kadin;ELBİSE KADIN (NORMAL);kadin-giyim;kadin-elbise-takim;utuleme;300;HAYIR
bluz-kadin;BLUZ KADIN;kadin-giyim;kadin-ust-giyim;kuru-temizleme;350;EVET
bluz-kadin;BLUZ KADIN;kadin-giyim;kadin-ust-giyim;yikama;350;HAYIR
bluz-kadin;BLUZ KADIN;kadin-giyim;kadin-ust-giyim;utuleme;150;EVET
gelinlik;GELİNLİK;kadin-giyim;kadin-ozel-giyim;kuru-temizleme;2500;EVET
gelinlik;GELİNLİK;kadin-giyim;kadin-ozel-giyim;leke-cikarma;2500;HAYIR
gelinlik;GELİNLİK;kadin-giyim;kadin-ozel-giyim;utuleme;1000;HAYIR
cocuk-elbise;ÇOCUK ELBİSESİ;cocuk-giyim;cocuk-ozel-gunler;kuru-temizleme;500;EVET
cocuk-elbise;ÇOCUK ELBİSESİ;cocuk-giyim;cocuk-ozel-gunler;yikama;500;HAYIR
cocuk-elbise;ÇOCUK ELBİSESİ;cocuk-giyim;cocuk-ozel-gunler;utuleme;250;HAYIR
hali-m2;HALI (m² Başına);ev-tekstili;hali-kilim;hali-yikama;200;EVET
hali-m2;HALI (m² Başına);ev-tekstili;hali-kilim;hali-tamiri;2000;HAYIR
hali-m2;HALI (m² Başına);ev-tekstili;hali-kilim;sacak-tamiri;2000;HAYIR
hali-m2;HALI (m² Başına);ev-tekstili;hali-kilim;hali-boyama;5000;HAYIR
koltuk-temizlik;KOLTUK TEMİZLİĞİ (Yerinde);ev-tekstili;mobilya-tekstili;yerinde-temizleme;3000;EVET
koltuk-temizlik;KOLTUK TEMİZLİĞİ (Yerinde);ev-tekstili;mobilya-tekstili;leke-cikarma;3000;HAYIR
koltuk-temizlik;KOLTUK TEMİZLİĞİ (Yerinde);ev-tekstili;mobilya-tekstili;antibakteriyel;3000;HAYIR
perde-m2;PERDE (m² Başına);ev-tekstili;perde-tul;kuru-temizleme;50;EVET
perde-m2;PERDE (m² Başına);ev-tekstili;perde-tul;yikama;50;HAYIR
perde-m2;PERDE (m² Başına);ev-tekstili;perde-tul;utuleme;30;HAYIR
deri-ceket;DERİ CEKET;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1500;EVET
deri-ceket;DERİ CEKET;ozel-temizleme;canta-ayakkabi;deri-boyama;2500;HAYIR
deri-ceket;DERİ CEKET;ozel-temizleme;canta-ayakkabi;leke-cikarma;1500;HAYIR
kilim-m2;KİLİM (m² Başına);ev-tekstili;hali-kilim;yikama;350;EVET
kilim-m2;KİLİM (m² Başına);ev-tekstili;hali-kilim;kuru-temizleme;350;HAYIR
kilim-m2;KİLİM (m² Başına);ev-tekstili;hali-kilim;sacak-tamiri;2000;HAYIR
yatak-ortusu;YATAK ÖRTÜSÜ;ev-tekstili;yatak-takimi;kuru-temizleme;1000;EVET
yatak-ortusu;YATAK ÖRTÜSÜ;ev-tekstili;yatak-takimi;yikama;1000;HAYIR
yatak-ortusu;YATAK ÖRTÜSÜ;ev-tekstili;yatak-takimi;utuleme;500;HAYIR
carsaf-takimi;ÇARŞAF TAKIMI;ev-tekstili;yatak-takimi;yikama;500;EVET
carsaf-takimi;ÇARŞAF TAKIMI;ev-tekstili;yatak-takimi;utuleme;250;HAYIR
carsaf-takimi;ÇARŞAF TAKIMI;ev-tekstili;yatak-takimi;kuru-temizleme;500;HAYIR
kanepe-3lu;KANEPE TEMİZLİĞİ (3lü);ev-tekstili;mobilya-tekstili;yerinde-temizleme;2000;EVET
kanepe-3lu;KANEPE TEMİZLİĞİ (3lü);ev-tekstili;mobilya-tekstili;antibakteriyel;2000;HAYIR
kanepe-3lu;KANEPE TEMİZLİĞİ (3lü);ev-tekstili;mobilya-tekstili;leke-cikarma;2000;HAYIR
berjer-temizlik;BERJER TEMİZLİĞİ;ev-tekstili;mobilya-tekstili;yerinde-temizleme;1000;EVET
berjer-temizlik;BERJER TEMİZLİĞİ;ev-tekstili;mobilya-tekstili;leke-cikarma;1000;HAYIR
berjer-temizlik;BERJER TEMİZLİĞİ;ev-tekstili;mobilya-tekstili;antibakteriyel;1000;HAYIR
silte-cift;ŞİLTE (Çift Kişilik);ev-tekstili;hali-kilim;yerinde-temizleme;350;EVET
silte-cift;ŞİLTE (Çift Kişilik);ev-tekstili;hali-kilim;antibakteriyel;350;HAYIR
silte-cift;ŞİLTE (Çift Kişilik);ev-tekstili;hali-kilim;leke-cikarma;350;HAYIR
mi-nder-tadi-lat-elyaflama-batch2;MİNDER TADİLAT ELYAFLAMA;erkek-giyim;erkek-ust-giyim;yerinde-temizleme;1500;HAYIR
mi-nder-tadi-lat-d-meleme-batch2;MİNDER TADİLAT/DÜĞMELEME;erkek-giyim;erkek-ust-giyim;yikama;1500;EVET
mi-nder-tadi-lat-d-meleme-batch2;MİNDER TADİLAT/DÜĞMELEME;erkek-giyim;erkek-ust-giyim;yerinde-temizleme;1500;HAYIR
mont-kap-onlu-batch2;MONT KAPŞONLU;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
mont-kap-onlu-batch2;MONT KAPŞONLU;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
motorcu-montu-batch2;MOTORCU MONTU;erkek-giyim;erkek-ust-giyim;kuru-temizleme;1250;EVET
motorcu-montu-batch2;MOTORCU MONTU;erkek-giyim;erkek-ust-giyim;yikama;1250;EVET
muhteli-f-temi-zleme-batch2;MUHTELİF TEMİZLEME;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
muhteli-f-temi-zleme-batch2;MUHTELİF TEMİZLEME;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
nevresi-m-i-ft-ki-i-li-k-batch2;NEVRESİM ÇİFT KİŞİLİK;ev-tekstili;yatak-takimi;kuru-temizleme;500;EVET
nevresi-m-i-ft-ki-i-li-k-batch2;NEVRESİM ÇİFT KİŞİLİK;ev-tekstili;yatak-takimi;utuleme;250;HAYIR
nevresi-m-i-ft-ki-i-li-k-batch2;NEVRESİM ÇİFT KİŞİLİK;ev-tekstili;yatak-takimi;yikama;500;EVET
nevresi-m-tek-ki-i-li-k-batch2;NEVRESİM TEK KİŞİLİK;ev-tekstili;yatak-takimi;kuru-temizleme;450;EVET
nevresi-m-tek-ki-i-li-k-batch2;NEVRESİM TEK KİŞİLİK;ev-tekstili;yatak-takimi;utuleme;250;HAYIR
nevresi-m-tek-ki-i-li-k-batch2;NEVRESİM TEK KİŞİLİK;ev-tekstili;yatak-takimi;yikama;450;EVET
overlok-normal-batch2;OVERLOK NORMAL;ozel-temizleme;canta-ayakkabi;hali-yikama;250;HAYIR
overlok-y-n-batch2;OVERLOK YÜN;ozel-temizleme;canta-ayakkabi;hali-yikama;400;HAYIR
pantolon-boyama-batch2;PANTOLON BOYAMA;erkek-giyim;erkek-alt-giyim;boyama;450;HAYIR
pantolon-grubu-batch2;PANTOLON GRUBU;erkek-giyim;erkek-alt-giyim;kuru-temizleme;350;EVET
pelu-mont-batch2;PELUŞ MONT;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
pelu-mont-batch2;PELUŞ MONT;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
perde-fon-i-ft-kat-batch2;PERDE FON ÇİFT KAT;ev-tekstili;perde-tul;kuru-temizleme;150;EVET
perde-fon-i-ft-kat-batch2;PERDE FON ÇİFT KAT;ev-tekstili;perde-tul;utuleme;100;HAYIR
perde-fon-i-ft-kat-batch2;PERDE FON ÇİFT KAT;ev-tekstili;perde-tul;yikama;150;EVET
perde-fon-tek-kat-batch2;PERDE FON TEK KAT;ev-tekstili;perde-tul;kuru-temizleme;125;EVET
perde-fon-tek-kat-batch2;PERDE FON TEK KAT;ev-tekstili;perde-tul;utuleme;75;HAYIR
perde-fon-tek-kat-batch2;PERDE FON TEK KAT;ev-tekstili;perde-tul;yikama;125;EVET
pi-ke-batch2;PİKE;ev-tekstili;yatak-takimi;kuru-temizleme;750;EVET
pi-ke-batch2;PİKE;ev-tekstili;yatak-takimi;utuleme;400;HAYIR
pi-ke-batch2;PİKE;ev-tekstili;yatak-takimi;yikama;750;EVET
puf-batch2;PUF;ev-tekstili;mobilya-tekstili;yerinde-temizleme;450;EVET
robte-ambir-batch2;ROBTEŞAMBIR;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
robte-ambir-batch2;ROBTEŞAMBIR;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
robte-ambir-batch2;ROBTEŞAMBIR;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
sandalye-temi-zleme-tam-batch2;SANDALYE TEMİZLEME TAM;ev-tekstili;mobilya-tekstili;yerinde-temizleme;350;EVET
sandalye-temi-zleme-yarim-batch2;SANDALYE TEMİZLEME YARIM;ev-tekstili;mobilya-tekstili;yerinde-temizleme;300;EVET
apka-boyama-batch2;ŞAPKA BOYAMA;erkek-giyim;erkek-ust-giyim;boyama;400;HAYIR
stor-batch2;STOR;ev-tekstili;perde-tul;yikama;300;EVET
tadi-lat-batch2;TADİLAT;ozel-temizleme;canta-ayakkabi;kuru-temizleme;500;EVET
takim-elbi-se-batch2;TAKIM ELBİSE;erkek-giyim;erkek-takim-elbise;kuru-temizleme;750;EVET
takim-elbi-se-batch2;TAKIM ELBİSE;erkek-giyim;erkek-takim-elbise;utuleme;400;HAYIR
takim-elbi-se-batch2;TAKIM ELBİSE;erkek-giyim;erkek-takim-elbise;yikama;750;EVET
terzi-tadi-lat-batch2;TERZİ TADİLAT;ozel-temizleme;canta-ayakkabi;kuru-temizleme;300;EVET
tuhafi-ye-i-p-d-me-vs-demesi-batch2;TUHAFİYE İP/ DÜĞME VS. ÖDEMESİ;ozel-temizleme;canta-ayakkabi;yikama;200;EVET
tuhafi-ye-i-p-d-me-vs-demesi-batch2;TUHAFİYE İP/ DÜĞME VS. ÖDEMESİ;ozel-temizleme;canta-ayakkabi;yerinde-temizleme;200;HAYIR
t-l-batch2;TÜL;ev-tekstili;perde-tul;kuru-temizleme;60;EVET
t-l-batch2;TÜL;ev-tekstili;perde-tul;utuleme;30;HAYIR
t-l-batch2;TÜL;ev-tekstili;perde-tul;yikama;60;EVET
t-l-store-st-dahi-l-batch2;TÜL STORE ST DAHİL;ev-tekstili;perde-tul;kuru-temizleme;300;EVET
t-l-store-st-dahi-l-batch2;TÜL STORE ST DAHİL;ev-tekstili;perde-tul;yikama;300;EVET
tulum-elbi-se-batch2;TULUM ELBİSE;kadin-giyim;kadin-elbise-takim;kuru-temizleme;600;EVET
tulum-elbi-se-batch2;TULUM ELBİSE;kadin-giyim;kadin-elbise-takim;utuleme;300;HAYIR
tulum-elbi-se-batch2;TULUM ELBİSE;kadin-giyim;kadin-elbise-takim;yikama;600;EVET
tulum-elbi-se-batch2;TULUM ELBİSE;kadin-giyim;kadin-elbise-takim;boyama;700;HAYIR
vi-scon-hali-batch2;VİSCON HALI;ev-tekstili;hali-kilim;hali-yikama;400;EVET
vi-skon-yastik-batch2;VİSKON YASTIK;ev-tekstili;yatak-takimi;kuru-temizleme;600;EVET
vi-skon-yastik-batch2;VİSKON YASTIK;ev-tekstili;yatak-takimi;yikama;600;EVET
yatak-ba-li-i-i-ft-batch2;YATAK BAŞLIĞI ÇİFT;ev-tekstili;yatak-takimi;yerinde-temizleme;1500;EVET
yatak-ba-li-i-tek-batch2;YATAK BAŞLIĞI TEK;ev-tekstili;yatak-takimi;yerinde-temizleme;1000;EVET
yatak-pedi-batch2;YATAK PEDİ;ev-tekstili;yatak-takimi;kuru-temizleme;750;EVET
yatak-pedi-batch2;YATAK PEDİ;ev-tekstili;yatak-takimi;yikama;750;EVET
yatak-pedi-batch2;YATAK PEDİ;ev-tekstili;yatak-takimi;yerinde-temizleme;2000;HAYIR
yatak-yikama-i-ft-batch2;YATAK YIKAMA ÇİFT;ev-tekstili;yatak-takimi;yerinde-temizleme;3000;EVET
yatak-yikama-tek-batch2;YATAK YIKAMA TEK;ev-tekstili;yatak-takimi;yerinde-temizleme;2500;EVET
yeri-nde-hali-yikama-batch2;YERİNDE HALI YIKAMA;ev-tekstili;hali-kilim;yerinde-temizleme;300;EVET
yorgan-tek-ki-i-li-k-y-n-pamuk-batch2;YORGAN TEK KİŞİLİK YÜN /PAMUK;ev-tekstili;yatak-takimi;kuru-temizleme;800;EVET
yorgan-tek-ki-i-li-k-y-n-pamuk-batch2;YORGAN TEK KİŞİLİK YÜN /PAMUK;ev-tekstili;yatak-takimi;yikama;800;EVET
y-n-omuz-ali-batch2;YÜN OMUZ ŞALI;kadin-giyim;kadin-ust-giyim;kuru-temizleme;450;EVET
y-n-omuz-ali-batch2;YÜN OMUZ ŞALI;kadin-giyim;kadin-ust-giyim;utuleme;250;HAYIR
y-n-omuz-ali-batch2;YÜN OMUZ ŞALI;kadin-giyim;kadin-ust-giyim;yikama;450;EVET
zebra-perde-batch2;ZEBRA PERDE;ev-tekstili;perde-tul;yikama;300;EVET
zebra-t-l-batch2;ZEBRA TÜL;ev-tekstili;perde-tul;yikama;300;EVET
ceket-batch2;CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;450;EVET
ceket-batch2;CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
ceket-batch2;CEKET;erkek-giyim;erkek-ust-giyim;yikama;450;EVET
ceket-batch2;CEKET;erkek-giyim;erkek-ust-giyim;boyama;750;HAYIR
pantolon-batch2;PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;300;EVET
pantolon-batch2;PANTOLON;erkek-giyim;erkek-alt-giyim;utuleme;150;HAYIR
pantolon-batch2;PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;300;EVET
pantolon-batch2;PANTOLON;erkek-giyim;erkek-alt-giyim;boyama;450;HAYIR
g-mlek-batch2;GÖMLEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;300;EVET
