ID,Ürün Adı,Kategori,Alt Kategori,Mevcut Görsel URL,Görsel Kaynağı,Yeni Görsel Dosya Adı,Notlar
esofman-takim,EŞOFMAN TAKIM,erkek-giyim,erkek-alt-giyim,https://images.unsplash.com/photo-1621976360623-004223992275?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),esofman-takim.jpg,Görseli bu isimle kaydedin
takim-elbise,TAKIM ELBİSE (2 PARÇA),erkek-giyim,erkek-takim-elbise,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),takim-elbise.jpg,Görseli bu isimle kaydedin
gomlek-erkek,GÖMLEK ERKEK,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),gomlek-erkek.jpg,Görseli bu isimle kaydedin
ceket-erkek,CEKET ERKEK,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-1552374196-1ab2a1c593e8?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),ceket-erkek.jpg,Görseli bu isimle kaydedin
elbise-kadin,ELBİSE KADIN (NORMAL),kadin-giyim,kadin-elbise-takim,https://images.unsplash.com/photo-1542295669297-4d352b042bca?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),elbise-kadin.jpg,Görseli bu isimle kaydedin
bluz-kadin,BLUZ KADIN,kadin-giyim,kadin-ust-giyim,https://images.unsplash.com/photo-1685278463552-51396b0a6287?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),bluz-kadin.jpg,Görseli bu isimle kaydedin
gelinlik,GELİNLİK,kadin-giyim,kadin-ozel-giyim,https://images.unsplash.com/photo-1606800052052-a08af7148866?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),gelinlik.jpg,Görseli bu isimle kaydedin
cocuk-elbise,ÇOCUK ELBİSESİ,cocuk-giyim,cocuk-ozel-gunler,https://images.unsplash.com/photo-1503944583220-79d8926ad5e2?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),cocuk-elbise.jpg,Görseli bu isimle kaydedin
hali-m2,HALI (m² Başına),ev-tekstili,hali-kilim,https://images.unsplash.com/photo-1572123979839-3749e9973aba?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),hali-m2.jpg,Görseli bu isimle kaydedin
koltuk-temizlik,KOLTUK TEMİZLİĞİ (Yerinde),ev-tekstili,mobilya-tekstili,https://images.unsplash.com/photo-1686178827149-6d55c72d81df?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),koltuk-temizlik.jpg,Görseli bu isimle kaydedin
perde-m2,PERDE (m² Başına),ev-tekstili,perde-tul,https://images.unsplash.com/photo-1506439773649-6e0eb8cfb237?w=400&auto=format&fit=crop&ixlib=rb-4.0.3,Unsplash (Dış Link),perde-m2.jpg,Görseli bu isimle kaydedin
deri-ceket,DERİ CEKET,ozel-temizleme,canta-ayakkabi,https://images.unsplash.com/photo-1576869842043-928d2afe2480?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),deri-ceket.jpg,Görseli bu isimle kaydedin
kilim-m2,KİLİM (m² Başına),ev-tekstili,hali-kilim,https://images.unsplash.com/photo-1531162805941-58330188d75c?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),kilim-m2.jpg,Görseli bu isimle kaydedin
yatak-ortusu,YATAK ÖRTÜSÜ,ev-tekstili,yatak-takimi,https://images.unsplash.com/photo-1606855637183-ea2a00b6f15f?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),yatak-ortusu.jpg,Görseli bu isimle kaydedin
carsaf-takimi,ÇARŞAF TAKIMI,ev-tekstili,yatak-takimi,https://images.unsplash.com/photo-1631049307264-da0ec9d70304?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),carsaf-takimi.jpg,Görseli bu isimle kaydedin
kanepe-3lu,KANEPE TEMİZLİĞİ (3lü),ev-tekstili,mobilya-tekstili,https://images.unsplash.com/photo-1540574163026-643ea20ade25?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),kanepe-3lu.jpg,Görseli bu isimle kaydedin
berjer-temizlik,BERJER TEMİZLİĞİ,ev-tekstili,mobilya-tekstili,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&auto=format&fit=crop&ixlib=rb-4.0.3,Unsplash (Dış Link),berjer-temizlik.jpg,Görseli bu isimle kaydedin
silte-cift,ŞİLTE (Çift Kişilik),ev-tekstili,hali-kilim,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400&auto=format&fit=crop&ixlib=rb-4.0.3,Unsplash (Dış Link),silte-cift.jpg,Görseli bu isimle kaydedin
mi-nder-tadi-lat-elyaflama-batch2,MİNDER TADİLAT ELYAFLAMA,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-f6g7h8i9j000f7890?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),mi-nder-tadi-lat-elyaflama-batch2.jpg,Görseli bu isimle kaydedin
mi-nder-tadi-lat-d-meleme-batch2,MİNDER TADİLAT/DÜĞMELEME,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-j6k7l8m9n000f7890?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),mi-nder-tadi-lat-d-meleme-batch2.jpg,Görseli bu isimle kaydedin
mont-kap-onlu-batch2,MONT KAPŞONLU,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),mont-kap-onlu-batch2.jpg,Görseli bu isimle kaydedin
motorcu-montu-batch2,MOTORCU MONTU,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-1551334787-21e2d38b3d9e?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),motorcu-montu-batch2.jpg,Görseli bu isimle kaydedin
muhteli-f-temi-zleme-batch2,MUHTELİF TEMİZLEME,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),muhteli-f-temi-zleme-batch2.jpg,Görseli bu isimle kaydedin
nevresi-m-i-ft-ki-i-li-k-batch2,NEVRESİM ÇİFT KİŞİLİK,ev-tekstili,yatak-takimi,https://images.unsplash.com/photo-1595516966504-797e68c1c89e?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),nevresi-m-i-ft-ki-i-li-k-batch2.jpg,Görseli bu isimle kaydedin
nevresi-m-tek-ki-i-li-k-batch2,NEVRESİM TEK KİŞİLİK,ev-tekstili,yatak-takimi,https://images.unsplash.com/photo-u1v2w3x4y500f7890?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),nevresi-m-tek-ki-i-li-k-batch2.jpg,Görseli bu isimle kaydedin
overlok-normal-batch2,OVERLOK NORMAL,ozel-temizleme,canta-ayakkabi,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),overlok-normal-batch2.jpg,Görseli bu isimle kaydedin
overlok-y-n-batch2,OVERLOK YÜN,ozel-temizleme,canta-ayakkabi,https://images.unsplash.com/photo-1576995853123-5a10305d93c0?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),overlok-y-n-batch2.jpg,Görseli bu isimle kaydedin
pantolon-boyama-batch2,PANTOLON BOYAMA,erkek-giyim,erkek-alt-giyim,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),pantolon-boyama-batch2.jpg,Görseli bu isimle kaydedin
pantolon-grubu-batch2,PANTOLON GRUBU,erkek-giyim,erkek-alt-giyim,https://images.unsplash.com/photo-1583623733237-4d9153fb1824?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),pantolon-grubu-batch2.jpg,Görseli bu isimle kaydedin
pelu-mont-batch2,PELUŞ MONT,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-1445205170230-053b83016050?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),pelu-mont-batch2.jpg,Görseli bu isimle kaydedin
perde-fon-i-ft-kat-batch2,PERDE FON ÇİFT KAT,ev-tekstili,perde-tul,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),perde-fon-i-ft-kat-batch2.jpg,Görseli bu isimle kaydedin
perde-fon-tek-kat-batch2,PERDE FON TEK KAT,ev-tekstili,perde-tul,https://images.unsplash.com/photo-1726543210987?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),perde-fon-tek-kat-batch2.jpg,Görseli bu isimle kaydedin
pi-ke-batch2,PİKE,ev-tekstili,yatak-takimi,https://images.unsplash.com/photo-1541781774459-bb2af2f05b55?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),pi-ke-batch2.jpg,Görseli bu isimle kaydedin
puf-batch2,PUF,ev-tekstili,mobilya-tekstili,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),puf-batch2.jpg,Görseli bu isimle kaydedin
robte-ambir-batch2,ROBTEŞAMBIR,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-1722109876543?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),robte-ambir-batch2.jpg,Görseli bu isimle kaydedin
sandalye-temi-zleme-tam-batch2,SANDALYE TEMİZLEME TAM,ev-tekstili,mobilya-tekstili,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),sandalye-temi-zleme-tam-batch2.jpg,Görseli bu isimle kaydedin
sandalye-temi-zleme-yarim-batch2,SANDALYE TEMİZLEME YARIM,ev-tekstili,mobilya-tekstili,https://images.unsplash.com/photo-1550972958-d17c476b78f2?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),sandalye-temi-zleme-yarim-batch2.jpg,Görseli bu isimle kaydedin
apka-boyama-batch2,ŞAPKA BOYAMA,erkek-giyim,erkek-ust-giyim,https://images.unsplash.com/photo-a1b2c3d4e500f7890?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),apka-boyama-batch2.jpg,Görseli bu isimle kaydedin
stor-batch2,STOR,ev-tekstili,perde-tul,https://images.unsplash.com/photo-1560184897-ae75f418493e?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),stor-batch2.jpg,Görseli bu isimle kaydedin
tadi-lat-batch2,TADİLAT,ozel-temizleme,canta-ayakkabi,https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),tadi-lat-batch2.jpg,Görseli bu isimle kaydedin
takim-elbi-se-batch2,TAKIM ELBİSE,erkek-giyim,erkek-takim-elbise,https://images.unsplash.com/photo-1617137984095-74e4e5e3613f?w=400&auto=format&fm=webp&q=75,Unsplash (Dış Link),takim-elbi-se-batch2.jpg,Görseli bu isimle kaydedin
