Page Name,Primary Keyword,Title Length,Title Score,Description Length,Description Score,H1 Content,Word Count,Schema Score,Local SEO Score,Overall SEO Score,Primary Issues,Recommendations
acibadem-kuru-temizleme.html,"Acıbadem kuru temizleme",66,8,156,9,"Acıbadem'de Kuru Temizleme",894,7,9,8.2,"Missing breadcrumb schema","Add breadcrumb schema implementation"
altunizade-hali-yikama.html,"Altunizade halı yıkama",68,8,153,8,"Altunizade'de Lüks Halı Yıkama",990,9,9,8.8,"None major","Optimize for featured snippets, enhance content uniqueness"
altunizade-premium-temizlik.html,"Altunizade premium temizlik",67,7,130,7,"Altunizade'de Premium Temizlik",952,9,8,8.0,"Short description","Expand meta description to 150+ characters"
atasehir-hali-yikama.html,"Ataşehir halı yıkama",70,8,164,9,"Ataşehir'de Business Halı Yıkama",981,9,9,8.8,"Title slightly long","Optimize title to under 70 characters"
atasehir-premium-temizlik.html,"Ataşehir premium iş kıyafetleri",76,8,148,8,"Ataşehir'de Premium İş Kıyafetleri",989,9,9,8.6,"Title too long","Shorten title to 60-70 characters"
bagdat-caddesi-haute-couture.html,"Bağdat Caddesi haute couture",78,9,157,9,"Bağdat Caddesi'nde Haute Couture Bakımı",1016,9,10,9.4,"Title too long","Optimize title length while maintaining luxury positioning"
bagdat-caddesi-koltuk-yikama.html,"Bağdat Caddesi koltuk yıkama",74,8,172,8,"Bağdat Caddesi'nde VIP Prestij Mobilya Temizleme",1016,9,10,8.8,"Description too long, title long","Optimize both title and description length"
barbaros-koltuk-yikama.html,"Barbaros koltuk yıkama",58,7,154,8,"Barbaros'ta VIP Koltuk Yıkama",988,9,8,8.2,"Limited local references","Add more Barbaros-specific landmarks and references"
bostanci-koltuk-yikama.html,"Bostancı koltuk yıkama",62,8,146,8,"Bostancı'da Premium Koltuk Yıkama",977,9,9,8.6,"None major","Add more local landmarks, enhance premium positioning"
caddebostan-hali-yikama.html,"Caddebostan halı yıkama",61,7,138,8,"Caddebostan'da Halı Yıkama",967,9,9,8.4,"None major","Enhance content depth, add luxury residential references"
camlica-kuru-temizleme.html,"Çamlıca kuru temizleme",62,8,157,8,"Çamlıca'da Elite Kuru Temizleme",975,9,9,8.6,"None major","Add more panoramic/hill references, expand service details"
erenkoy-hali-yikama.html,"Erenköy halı yıkama",66,8,152,8,"Erenköy'de Antik Halı Yıkama",975,9,9,8.6,"None major","Optimize for long-tail antique keywords"
fenerbahce-kuru-temizleme.html,"Fenerbahçe kuru temizleme",66,8,147,8,"Fenerbahçe'de Kuru Temizleme",948,9,9,8.2,"None major","Add sports-related content, team uniform cleaning"
fikirtepe-koltuk-yikama.html,"Fikirtepe koltuk yıkama",64,8,162,8,"Fikirtepe'de Modern Koltuk Temizliği",980,9,9,8.6,"None major","Enhance modern urban development theme"
